dataset,horizon,mode,model,scenario_mase
ganymede,7,multi_well,chronos,0.19011855525354193
ganymede,7,multi_well,deeponet,0.4499601913050618
ganymede,7,multi_well,lstm,0.3450095502097011
ganymede,7,multi_well,patchtst,0.6639178547851873
ganymede,7,multi_well,tcn,0.3567867328358021
ganymede,7,multi_well,timesfm,0.21532587300690156
ganymede,7,multi_well,tirex,0.1877379353285572
ganymede,7,per_well,chronos,0.3075486171050762
ganymede,7,per_well,deeponet,2.292678287759801
ganymede,7,per_well,lstm,1.276043797062871
ganymede,7,per_well,patchtst,2.3616488358867325
ganymede,7,per_well,tcn,2.113868085338276
ganymede,7,per_well,timesfm,0.3450662988676948
ganymede,7,per_well,tirex,0.3030258916756969
ganymede,14,multi_well,chronos,0.14264029112222165
ganymede,14,multi_well,deeponet,0.31351624466031336
ganymede,14,multi_well,lstm,0.2304663361196613
ganymede,14,multi_well,patchtst,0.47936498821229745
ganymede,14,multi_well,tcn,0.21381325268219933
ganymede,14,multi_well,timesfm,0.15496531564885954
ganymede,14,multi_well,tirex,0.14108165741343617
ganymede,14,per_well,chronos,0.20426826995309727
ganymede,14,per_well,deeponet,1.3267156414437997
ganymede,14,per_well,lstm,0.6611579376281932
ganymede,14,per_well,patchtst,1.4322641271859482
ganymede,14,per_well,tcn,0.8719958850312267
ganymede,14,per_well,timesfm,0.2181388393937362
ganymede,14,per_well,tirex,0.19946350984157973
ganymede,30,multi_well,chronos,0.16256881102359
ganymede,30,multi_well,deeponet,0.25162813870456313
ganymede,30,multi_well,lstm,0.21948127633518427
ganymede,30,multi_well,patchtst,0.3937634699191994
ganymede,30,multi_well,tcn,0.22396728166974678
ganymede,30,multi_well,timesfm,0.16619421095118853
ganymede,30,multi_well,tirex,0.15462826646440572
ganymede,30,per_well,chronos,0.2191759416298836
ganymede,30,per_well,deeponet,1.0850998132125818
ganymede,30,per_well,lstm,0.5752421215275149
ganymede,30,per_well,patchtst,1.4073606506836556
ganymede,30,per_well,tcn,0.9010617510903882
ganymede,30,per_well,timesfm,0.22012816987400177
ganymede,30,per_well,tirex,0.20425810436437866
ganymede,90,multi_well,chronos,0.4382742752747089
ganymede,90,multi_well,deeponet,0.2593056046016142
ganymede,90,multi_well,lstm,0.2205371055760401
ganymede,90,multi_well,patchtst,0.46202168894659995
ganymede,90,multi_well,tcn,0.26043823164220303
ganymede,90,multi_well,timesfm,0.18606247943925958
ganymede,90,multi_well,tirex,0.1719938954523763
ganymede,90,per_well,chronos,0.7771844633663046
ganymede,90,per_well,deeponet,1.0478418095212434
ganymede,90,per_well,lstm,0.6488988512932631
ganymede,90,per_well,patchtst,1.401202050196942
ganymede,90,per_well,tcn,0.9487347331665016
ganymede,90,per_well,timesfm,0.2669411701585366
ganymede,90,per_well,tirex,0.23483114688990456
